	ID	SYSTEM	SUBSYSTEM	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB
	31	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Glutamine	0	gln_L[m]	1	1	pyr[m]	1	1
						h2o[m]	3	3	nadh[m]	3	3
						nad[m]	3	3	nh4[m]	2	2
						adp[m]	1	1	h[m]	1	1
						pi[m]	1	1	co2[m]	2	2
						fad[m]	1	1	atp[m]	1	1
									fadh2[m]	1	1
	32	CARBOHYDRATES METABOLISM	GLYCOLYSIS/GLUCONEOGENESIS	Ethanol to acetaldehyde	0	etoh[c]	1	1	acald[c]	1	1
						nad[c]	1	1	nadh[c]	1	1
									h[c]	1	1
	33	CARBOHYDRATES METABOLISM	PYRUVATE METABOLISM	Glucose to lactate conversion	0	glc_D[c]	1	1	lac_L[c]	2	2
						adp[c]	2	2	atp[c]	2	2
						pi[c]	2	2	h2o[c]	2	2
	34	CARBOHYDRATES METABOLISM	PYRUVATE METABOLISM	Malate to pyruvate conversion	0	mal_L[m]	1	1	pyr[m]	1	1
						nad[m]	1	1	co2[m]	1	1
									nadh[m]	1	1
	35	CARBOHYDRATES METABOLISM	PENTOSE PHOSPHATE PATHWAY	Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt)	0	f6p[c]	1	1	e4p[c]	1	1
						g3p[c]	1	1	xu5p_D[c]	1	1
	36	CARBOHYDRATES METABOLISM	PENTOSE PHOSPHATE PATHWAY	Synthesis of ribose-5-phosphate	0	glc_D[c]	1	1	r5p[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						nadp[c]	2	2	h[c]	3	3
						h2o[c]	1	1	nadph[c]	2	2
									co2[c]	1	1
	37	CARBOHYDRATES METABOLISM	GALACTOSE METABOLISM	Synthesis of lactose	0	glc_D[g]	1	1	lcts[g]	1	1
						udpgal[g]	1	1	udp[g]	1	1
									h[g]	1	1
	38	CARBOHYDRATES METABOLISM	GLYCOGEN METABOLISM	Glycogen biosynthesis	0	Tyr_ggn[c]	1	1	glygn2[c]	1	1
						udpg[c]	11		h[c]	11	
									udp[c]	11	
	39	CARBOHYDRATES METABOLISM	GLYCOGEN METABOLISM	Glycogen degradation	0	glygn2[c]	1	1	glc_D[c]	8	
						pi[c]	3		Tyr_ggn[c]	1	1
						h2o[c]	8		g1p[c]	3	
	40	CARBOHYDRATES METABOLISM	FRUCTOSE METABOLISM	Fructose degradation (to glucose-3-phosphate)	0	fru[c]	1	1	g3p[c]	2	2
						atp[c]	2	2	adp[c]	2	2
									h[c]	2	2
	41	CARBOHYDRATES METABOLISM	FRUCTOSE METABOLISM	Fructose to glucose conversion (via fructose-6-phosphate)	0	fru[c]	1	1	glc_D[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						h2o[c]	1	1	h[c]	1	1
									pi[c]	1	1
	42	CARBOHYDRATES METABOLISM	NUCLEOTIDE SUGAR	UDP-glucose synthesis	0	glc_D[c]	1	1	udpg[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						utp[c]	1	1	ppi[c]	1	1
	43	CARBOHYDRATES METABOLISM	NUCLEOTIDE SUGAR	UDP-galactose synthesis	0	gal[c]	1	1	udpgal[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						utp[c]	1	1	ppi[c]	1	1
	44	CARBOHYDRATES METABOLISM	NUCLEOTIDE SUGAR	UDP-glucuronate synthesis	0	glc_D[c]	1	1	udpglcur[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						utp[c]	1	1	ppi[c]	1	1
						h2o[c]	1	1	h[c]	3	3
						nad[c]	2	2	nadh[c]	2	2
	45	CARBOHYDRATES METABOLISM	FUCOSE METABOLISM	GDP-L-fucose synthesis	0	fuc_L[c]	1	1	gdpfuc[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						gtp[c]	1	1	ppi[c]	1	1
	46	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	Mannose degradation (to fructose-6-phosphate)	0	man[c]	1	1	f6p[c]	1	1
						atp[c]	1	1	adp[c]	1	1
									h[c]	1	1
	47	CARBOHYDRATES METABOLISM	MANNOSE METABOLISM	GDP-mannose synthesis	0	man[c]	1	1	gdpmann[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						gdp[c]	1	1	pi[c]	1	1
	48	CARBOHYDRATES METABOLISM	AMINO SUGARS METABOLISM	UDP-N-acetyl D-galactosamine synthesis	0	glc_D[c]	1	1	udpacgal[c]	1	1
						gln_L[c]	1	1	glu_L[c]	1	1
						accoa[c]	1	1	coa[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						utp[c]	1	1	ppi[c]	1	1
									h[c]	1	1
	49	CARBOHYDRATES METABOLISM	AMINO SUGARS METABOLISM	CMP-N-acetylneuraminate synthesis	0	glc_D[c]	1	1	cmpacna[c]	1	1
						gln_L[c]	1	1	glu_L[c]	1	1
						accoa[c]	1	1	coa[c]	1	1
						pep[c]	1	1	adp[c]	2	2
						utp[c]	1	1	ppi[c]	2	2
						atp[c]	2	2	h[c]	3	3
						h2o[c]	3	3	pi[c]	2	2
						ctp[c]	1	1	udp[c]	1	1
	50	CARBOHYDRATES METABOLISM	AMINO SUGARS METABOLISM	N-Acetylglucosamine synthesis	0	glc_D[c]	1	1	acgam[c]	1	1
						gln_L[c]	1	1	glu_L[c]	1	1
						accoa[c]	1	1	coa[c]	1	1
						utp[c]	1	1	adp[c]	1	1
						atp[c]	1	1	ppi[c]	1	1
						h2o[c]	1	1	h[c]	2	2
									udp[c]	1	1
	51	CARBOHYDRATES METABOLISM	PENTOSE AND GLUCURONATE INTERCONVERSION	Glucuronate synthesis (via inositol)	0	glc_D[c]	1	1	glcur[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						o2[c]	1	1	h[c]	2	2
									pi[c]	1	1
	52	CARBOHYDRATES METABOLISM	PENTOSE AND GLUCURONATE INTERCONVERSION	Glucuronate synthesis (via udp-glucose)	0	glc_D[c]	1	1	glcur[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						utp[c]	1	1	ppi[c]	1	1
						h2o[c]	2	2	h[c]	4	4
						nad[c]	2	2	nadh[c]	2	2
									udp[c]	1	1
	53	CARBOHYDRATES METABOLISM	KETOGENESIS	Synthesis of acetone	0	glc_D[c]	1	1	acetone[m]	1	1
						nad[c]	2	2	nadh[m]	2	2
						adp[c]	2	2	nadh[c]	2	2
						pi[c]	2	2	co2[m]	3	3
						nad[m]	2	2	atp[c]	2	2
						h2o[m]	1	1	h2o[c]	2	2
									h[m]	2	2
	54	CARBOHYDRATES METABOLISM	KETOGENESIS	(R)-3-Hydroxybutanoate synthesis	0	glc_D[c]	1	1	bhb[m]	1	1
						adp[c]	2	2	atp[c]	2	2
						nad[c]	2	2	nadh[m]	1	1
						nad[m]	1	1	nadh[c]	2	2
						pi[c]	2	2	h2o[c]	2	2
						h2o[m]	1	1	co2[m]	2	2
									h[m]	2	2
	55	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	Synthesis of inositol	0	glc_D[c]	1	1	inost[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						h2o[c]	1	1	h[c]	1	1
									pi[c]	1	1
	56	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	Inositol as input for glucuronate-xylulose pathway	0	inost[c]	1	1	xu5p_D[c]	1	1
						atp[c]	1	1	adp[c]	1	1
						o2[c]	1	1	co2[c]	1	1
						nad[c]	2	2	nadh[c]	2	2
						nadph[c]	2	2	nadp[c]	2	2
									h[c]	1	1
									h2o[c]	1	1
	57	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	Synthesis of phosphatidylinositol from inositol	0	inost[c]	1	1	pail_hs[c]	1	1
						cdpdag_hs[c]	1	1	h[c]	1	1
									cmp[c]	1	1
	58	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	Conversion of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate to 1D-myo-inositol 1,4,5-trisphosphate	0	pail45p_hs[c]	1	1	mi145p[c]	1	1
						h2o[c]	1	1	dag_hs[c]	1	1
									h[c]	6	6
	59	CARBOHYDRATES METABOLISM	STARCH DEGRADATION	Starch degradation	0	strch1[e]	1	1	glc_D[e]	11	11
						h2o[e]	10	10			
	60	CARBOHYDRATES METABOLISM	GLYOXYLATE METABOLISM	Link between glyoxylate metabolism and pentose phosphate pathway (Xylulose to glycolate)	0	xylu_D[c]	1	1	glyclt[c]	1	1
						atp[c]	1	1	h[c]	3	3
						h2o[c]	1	1	dhap[c]	1	1
						nad[c]	1	1	nadh[c]	1	1
									adp[c]	1	1
	61	CARBOHYDRATES METABOLISM	METHYLGLYOXAL METABOLISM	Synthesis of methylglyoxal	0	glc_D[c]	1	1	mthgxl[c]	2	2
						atp[c]	2	2	adp[c]	2	2
									pi[c]	2	2
									h[c]	2	2
	62	AMINO ACIDS METABOLISM	ALANINE METABOLISM	Alanine synthesis	0	glc_D[c]	3	3	ala_L[c]	2	2
						atp[m]	2	2	akg[c]	2	2
						adp[c]	6	6	atp[c]	6	6
						nad[m]	2	2	adp[m]	2	2
						nad[c]	6	6	nadh[c]	6	6
						nh4[m]	2	2	nadh[m]	2	2
						hco3[m]	2		h2o[c]	6	
						h[m]	2		co2[m]	4	
						pi[c]	6		pi[m]	2	
									h[m]	6	
									h[c]	4	
	63	AMINO ACIDS METABOLISM	ALANINE METABOLISM	Alanine degradation	0	ala_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	64	AMINO ACIDS METABOLISM	ALANINE METABOLISM	Synthesis of alanine from glutamine	0	gln_L[c]	1	1	ala_L[c]	1	1
						pyr[c]	1	1	akg[c]	1	1
						h2o[c]	1	1	nh4[c]	1	1
	65	AMINO ACIDS METABOLISM	ARGININE METABOLISM	Arginine synthesis	0	glc_D[c]	2	2	arg_L[c]	1	1
						asp_L[c]	1	1	fum[c]	1	1
						nadph[m]	1	1	akg[m]	1	1
						nad[c]	4	4	nadh[m]	2	2
						nad[m]	2	2	nadh[c]	4	4
						atp[m]	5	5	nadp[m]	1	1
						adp[c]	4	4	atp[c]	1	1
						pi[c]	4	4	adp[m]	5	5
						hco3[m]	3	3	amp[c]	1	3
						nh4[m]	3	3	pi[m]	5	5
									ppi[c]	1	1
									co2[m]	4	4
									h2o[c]	4	4
									h[m]	10	10
									h[c]	1	1
	66	AMINO ACIDS METABOLISM	ARGININE METABOLISM	Arginine degradation	0	arg_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			urea[c]		
						h[c]					
	67	AMINO ACIDS METABOLISM	ARGININE METABOLISM	Synthesis of arginine from glutamine	0	gln_L[m]	2	2	arg_L[c]	1	1
						asp_L[c]	1	1	fum[c]	1	1
						atp[c]	1	1	adp[m]	3	3
						atp[m]	3	3	h[c]	1	1
						hco3[m]	1	1	h[m]	2	2
						nadph[m]	1	1	pi[m]	3	3
						h2o[m]	2	2	nh4[m]	1	1
									akg[m]	1	1
									nadp[m]	1	1
									amp[c]	1	1
									ppi[c]	1	1
	68	AMINO ACIDS METABOLISM	ARGININE METABOLISM	Synthesis of nitric oxide from arginine	0	arg_L[c]	2	2	no[c]	2	2
						h[c]	1	1	h2o[c]	4	4
						o2[c]	4	4	citr_L[c]	2	2
						nadph[c]	3	3	nadp[c]	3	3
	69	AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Synthesis of aspartate from glutamine	0	gln_L[c]	1	1	asp_L[c]	1	1
						oaa[c]	1	1	akg[c]	1	1
						h2o[c]	1	1	nh4[c]	1	1
	70	AMINO ACIDS METABOLISM	ARGININE METABOLISM	Synthesis of creatine from arginine	0	arg_L[c]	1	1	creat[c]	1	1
						amet[c]	1	1	ahcys[c]	1	1
						gly[c]	1	1	orn[c]	1	1
									h[c]	1	1
	71	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	Asparagine synthesis	0	glc_D[c]	1	1	asn_L[c]	1	1
						fad[m]	1	1	fadh2[m]	1	1
						hco3[m]	1	4	co2[m]	3	6
						nh4[m]	1	1	nadh[m]	2	2
						nh4[c]	1	1	nadh[c]	3	3
						nad[c]	3	3	amp[c]	1	1
						nad[m]	2	2	ppi[c]	1	3
						adp[c]	1	1	h[m]	2	2
						pi[c]	1	1	h[c]	4	4
	72	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	Asparagine degradation	0	asn_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	73	AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Aspartate synthesis	0	glc_D[c]	3	3	asp_L[m]	2	2
						nad[c]	6	6	akg[m]	2	2
						adp[c]	6	6	nadh[c]	6	6
						pi[c]	6	6	atp[c]	6	6
						h2o[m]	2	2	h2o[c]	6	6
						nad[m]	2	2	co2[m]	4	4
						atp[m]	4	4	nadh[m]	2	2
						hco3[m]	4	4	adp[m]	4	4
						nh4[m]	2	2	pi[m]	4	4
									h[m]	10	10
									h2o[m]	2	2
									h[c]	2	2
	74	AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Aspartate degradation	0	asp_L[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	75	AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Conversion of aspartate to arginine	0	asp_L[c]	1	1	arg_L[c]	1	1
						citr_L[c]	1	1	fum[c]	1	1
						atp[c]	1	1	amp[c]	1	1
									ppi[c]	1	1
									h[c]	1	1
	76	AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Conversion of aspartate to beta-alanine	0	asp_L[c]	1	1	ala_B[c]	1	1
						h[c]	1	1	co2[c]	1	1
	77	AMINO ACIDS METABOLISM	ASPARTATE METABOLISM	Conversion of asparate to asparagine	0	asp_L[c]	1	1	asn_L[c]	1	1
						atp[c]	1	1	amp[c]	1	1
						gln_L[c]	1	1	glu_L[c]	1	1
						h2o[c]	1	1	h[c]	1	1
									ppi[c]	1	1
	78	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	beta-Alanine synthesis	0	glc_D[c]	1	1	ala_B[c]	1	1
						fad[m]	1	1	fadh2[m]	1	1
						nad[m]	2	2	co2[c]	1	1
						nad[c]	3	3	co2[m]	3	4
						adp[c]	2	2	nadh[m]	2	2
						pi[c]	2	2	nadh[c]	3	3
						hco3[m]	1	2	atp[c]	2	3
						nh4[m]	1	1	h2o[c]	1	1
									h[m]	2	2
									h[c]	1	1
	79	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	beta-Alanine degradation	0	ala_B[c]	1	1	h2o[c]		
						o2[c]			atp[c]		
						pi[c]			co2[c]		
						adp[c]			nh4[c]		
						h[c]					
	80	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	Conversion of carnosine to beta-alanine	0	carn[c]	1	1	ala_B[c]	1	1
						h2o[c]	1	1	his_L[c]	1	1
	81	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	Beta-alanine to 3-oxopropanoate	0	ala_B[m]	1	1	msa[m]	1	1
						akg[m]	1	1	glu_L[m]	1	1
	82	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	Cysteine synthesis	1	glc_D[c]	1	1	cys_L[c]	1	1
						atp[c]			adp[c]		
						h2o[c]			nadh[c]		
						nad[c]			h[c]		
						nh4[c]			co2[c]		
						so4[c]			pi[c]		
	83	AMINO ACIDS METABOLISM	CYSTEINE METABOLISM	Cysteine synthesis (need serine and methionine)	0	met_L[c]	1	1	cys_L[c]	1	1
						gly[c]	1	1	sarcs[c]	1	1
						atp[c]	2	2	adp[c]	1	1
						h2o[c]	2	2	amp[c]	1	1
						ser_L[c]	1	1	pi[c]	1	1
									ppi[c]	1	1
									h[c]	2	2
