id	SYSTEM	SUBSYSTEM	DESCRIPTION	ORIGINAL.SOURCE	COMMENTS	REFERENCE	PATHWAYS.USED
X108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	Methionine degradation	iHSA (89)	In mammales, metheionine can be degradted in the pathway which proceeds via transamination of methionine, decarboxylation and liberation of methanethiol. Its oxidation leads to CO2.	PAGE 67	METAT (atp[c] + h2o[c] + met_L[c] -> amet[c] + pi[c] + ppi[c] )- GNMT (amet[c] + gly[c] -> ahcys[c] + h[c] + sarcs[c] )-AHC (ahcys[c] + h2o[c] <=> adn[c] + hcys-L[c] )-ADNK1 (adn[c] + atp[c] -> adp[c] + amp[c] + h[c] )-SARCStm (sarcs[c] -> sarcs[m] )-SARDHm (fad[m] + sarcs[m] + thf[m] -> fadh2[m] + gly[m] + mlthf[m] )-CYSTS (hcys-L[c] + ser-L[c] -> cyst-L[c] + h2o[c] )-CYSTGL (cyst-L[c] + h2o[c] -> 2obut[c] + cys-L[c] + nh4[c] )-OBDHc (2obut[c] + coa[c] + nad[c] -> co2[c] + nadh[c] + ppcoa[c] )-GLYtm (gly[c] <=> gly[m] )-MTHFD2m (mlthf[m] + nad[m] <=> methf[m] + nadh[m] )-MTHFCm (h2o[m] + methf[m] <=> 10fthf[m] + h[m] )-FTHFLm (atp[m] + for[m] + thf[m] <=> 10fthf[m] + adp[m] + pi[m] )-FORt2m (for[m] <=> for[c] )-FDH (for[c] -> co2[c] + nadh[c] )-
X109	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	S-adenosyl-L-methionine synthesis	iHSA (247)	Methionine is converted to S-adenosylmethionine (SAM) by (1) methionine adenosyltransferase.	PAGE 67	METAT (methionine adenosyltransferase - atp + h2o + met-L --> amet + pi + ppi)
X11	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	Guanosine triphosphate synthesis (GTP)	iHSA (12)/recon2 (105)	In vivo, nucleotides can be synthesized de novo or recycled through salvage pathways. The components used in de novo nucleotide synthesis are derived from biosynthetic precursors of carbohydrate and amino acid metabolism, and from ammonia and carbon dioxide.	PAGE 124-126	Combination of Glucose to PRPP pathways (HEX1, G6PDH2r, PGL,GND,RPI,PRPPS), IMP pathways (GLUPRT,PRAGSr,GARFT,PRFGS,PRAIS,AIRCr, PRASCS,ADSL2,AICART, IMPC), and GTP met pathway (IMPD,GMPS2,GK1,NDPK1)
X110	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	Ornithine degradation	iHSA (98)	Orinitine is a central part of the urea cycle, which allows for the disposal of excess nitrogen.	PAGE 81	
X111	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	Synthesis of ornithine from glutamine	iHSA (269)/recon2 (289)	Ornithine is a non proteinogenic amino acid that plays a role in the urea cycle.	PAGE 59-60	ORNTArm (ornithine transaminase reversible - akg + orn <==> glu-L + glu5sa) + G5SADrm (L-glutamate 5-semialdehyde dehydratase, reversible, mitochondrial - glu5sa <==> 1pyr5c + h + h2o) + P5CDm (1-pyrroline-5-carboxylate dehydrogenase, mitochondrial - 1pyr5c + (2) h2o + nad --> glu-L + h + nadh)
X112	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	Synthesis of spermidine from ornithine	recon2 (306 and 307)	Spermidine is a polyamine compound found in ribosomes and living tissues, and having various metabolic functions within organisms.	PAGE 82 -- https://www.ncbi.nlm.nih.gov/pubmed/3027106	ORNDC (Ornithine Decarboxylase - h + orn --> co2 + ptrc) - SPMS (spermidine synthase - ametam + ptrc --> 5mta + h + spmd) - ADMDC (adenosylmethionine decarboxylase - amet + h --> ametam + co2) - METAT (methionine adenosyltransferase- atp + h2o + met-L --> amet + pi + ppi)
X113	AMINO ACIDS METABOLISM	SERINE METABOLISM	Serine synthesis	iHSA (50)/recon2 (19)	Many cancer cells are highly dependent on serine, a trait that provides several novel therapeutic opportunities, either through the inhibition of de novo serine synthesis or by limiting the availability or uptake of exogenous serine. (doi:10.1038/nrc.2016.81)	PAGE 64	HEX1 (atp[c] + glc_D[c] ->adp[c] + g6p[c] + h[c])- PGI (g6p[c] <=>f6p[c]) )-PFK (atp[c] + f6p[c] ->adp[c] + fdp[c] + h[c] )-FBA (fdp[c] <=> dhap[c] + g3p[c] )-TPI (dhap[c] <=>g3p[c] )-GAPD(g3p[c] + nad[c] + pi[c] <=>13dpg[c] + h[c] + nadh[c] )-PGK (13dpg[c] + adp[c]<=>3pg[c] + atp[c] )-PGCD (3pg[c] + nad[c] ->3php[c] + h[c] + nadh[c] )-PSERT (3php[c] + glu_L[c] ->akg[c] + pser_L[c] )-PSP_L (h2o[c] + pser_L[c] -> pi[c] + ser_L[c] )-
X114	AMINO ACIDS METABOLISM	SERINE METABOLISM	Serine degradation	iHSA (92)/recon2 (150, 151)	The major route for serine catabolism is the serine dehydratase reaction, leading to pyruvate -- L-serine can be catalized by Serine dehydratase to yield pyruvate, with the release of ammonia. (doi:10.1110/ps.041179105; https://en.wikipedia.org/wiki/Serine_dehydratase#cite_note-Crystal_structure-1)	PAGE 63	
X115	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	Phenylalanine degradation	iHSA (90)	Tyrosine and phenylalanine, glucogenically, produce fumarate	PAGE 74	Homogentisate => 4-malylacetoacetate => 4-formylacetoacetate
X116	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	Phenylalanine to phenylacetaldehyde	recon2 (209 and 210)	Phenylacetaldehyde is an organic compound used in the synthesis of fragrances and polymers and is biosynthetically derived from the amino acid phenylalanine	Missing references for human metabolic network but many for plants??? -- http://www.jbc.org/content/281/33/23357.full	PHYCBOXL (L-Phenylalanine carboxy-lyase - h + phe-L --> co2 + peamn) - PEAMNO (Phenethylamine oxidase - h2o + o2 + peamn --> h2o2 + nh4 + pacald)
X117	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	Phenylalanine to phenylacetyl-L-glutaminate	recon2 (213)	Phenylacetylglutamine is a normal constituent of human urine	Not in the atlas -- http://www.jbc.org/content/229/1/463.long -- https://pubchem.ncbi.nlm.nih.gov/compound/Phenylacetylglutamine#section=Top	PHYCBOXL (L-Phenylalanine carboxy-lyase - h + phe-L --> co2 + peamn) - PEAMNO (Phenethylamine oxidase - h2o + o2 + peamn --> h2o2 + nh4 + pacald) -ALDD19x (aldehyde dehydrogenase - h2o + nad + pacald --> (2) h + nadh + pac) -PACCOAL (phenylacetate-CoA ligase - atp + coa + pac --> amp + phaccoa + ppi) -PHACCOAGLNAC (Phenylacetyl-CoA:L-glutamine alpha-N-phenylacetyltransferase - gln-L + phaccoa --> coa + pheacgln)
X118	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	Phenylalanine to tyrosine	recon2 (215)	Same pathway as L-phenylalanine (prephenate as precursor) with one additional step of phenylalanine 4-monooxygenase -- The reaction uses tetrahydrobiopterin which has to be reduced by dihydropteridine reductase	PAGE 74	PHETHPTOX2 (L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating) - o2 + phe-L + thbpt --> thbpt4acam + tyr-L)
X119	AMINO ACIDS METABOLISM	PROLINE METABOLISM	Proline synthesis	iHSA (49)/recon2 (143)	Proline is non-essential in humans and is biosynthetically derived from the amino acid L-glutamate. CHO cells are deficient of proline synthesis.	PAGE 63	
X12	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	Uridine triphosphate synthesis (UTP)	iHSA (13)	In vivo, nucleotides can be synthesized de novo or recycled through salvage pathways. The components used in de novo nucleotide synthesis are derived from biosynthetic precursors of carbohydrate and amino acid metabolism, and from ammonia and carbon dioxide. -- The synthesis of the pyrimidines CTP and UTP occurs in the cytoplasm and use mainly glutamine, CO2 and aspartate.	PAGE 124-126	Combination of Glucose to PRPP pathways (HEX1, G6PDH2r, PGL,GND,RPI,PRPPS) and UMP pathways (CBPS, ASPCTr, DHORTS,DHORD9,ORPT,OMPDC,UMPK, NDPK2 and CTPS1)
X120	AMINO ACIDS METABOLISM	PROLINE METABOLISM	Proline degradation	iHSA (91)	Degradation of proline starts with the oxidation of 1-pyrroline-5carboxylate, fi nally yielding glutamate and oxoglutarate. -- https://biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=PROUT-PWY	PAGE 63	
X121	AMINO ACIDS METABOLISM	PROLINE METABOLISM	Synthesis of proline from glutamine	iHSA (259, 268, 287, 288, 299, 300, 301)/recon2 (146, 221)	Proline can be produced from glutamine through glutamate.	PAGE 63	GLUNm (glutaminase (mitochondrial) - gln-L + h2o --> glu-L + nh4) - GLU5Km (glutamate 5-kinase (m) - atp + glu-L --> adp + glu5p) - G5SDym (glutamate-5-semialdehyde dehydrogenase (m) - glu5p + h + nadph --> glu5sa + nadp + pi) - G5SADrm (L-glutamate 5-semialdehyde dehydratase, reversible, mitochondrial - glu5sa <==> 1pyr5c + h + h2o) - P5CRxm (pyrroline-5-carboxylate reductase (m) - 1pyr5c + (2) h + nadh --> nad + pro-L)
X122	AMINO ACIDS METABOLISM	THREONINE METABOLISM	Threonine degradation	iHSA (93)	Threonine is cleaved directly or after oxidation, yielding glycine (which is converted via serine to pyruvate, 3.2.4.2) and acetaldehyde or acetate, which are consecutively converted into acetyl-CoA.	PAGE 67	
X123	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Tryptophan degradation	iHSA (94)/recon2 (253, 254)	Tryptophan is degraded in liver. The main degradation pathway leads to crotonyl-CoA (which is a member of the fatty acid degradation pathway) and further on to acetyl-CoA.	PAGE 77	
X124	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of anthranilate from tryptophan	recon2 (255)	The major catabolic pathway in mammalian liver begins with the oxidative cleavage of the 5-membered ring and the consecutive liberation of formate (which is taken up by tetrahydrofolate, 3.7.6.2), resulting in kynurenine. After hydroxylation, a shortening of the side chain and release of alanine by action of kynureninase takes place. Kynureninase can act before hydroxylation takes place, resulting in anthranilate. Animals, excrete anthranilate in conjugated form in urine.	PAGE 77	TRPO2 (L-Tryptophan:oxygen 2,3-oxidoreductase (decyclizing) - o2 + trp-L --> Lfmkynr) -FKYNH (N-Formyl-L-kynurenine amidohydrolase - Lfmkynr + h2o --> Lkynr + for + h) - KYN (kynureninase - Lkynr + h2o --> ala-L + anth + h)
X125	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of kynate from tryptophan	recon2 (257)	High levels of kynurenic acid have been identified in patients suffering from tick-borne encephalitis, schizophrenia and HIV-related illnesses. In all these situations increased levels were associated with confusion and psychotic symptoms. Kynurenic acid acts in the brain as a glycine-site NMDAr antagonist, key in glutamatergic neurotransmission system, which is thought to be involved in the pathophysiology and pathogenesis of schizophrenia. It is formed from L-kynurenine in a reaction catalyzed by the enzyme kynurenine—oxoglutarate transaminase.	PAGE 77	TRPO2 (L-Tryptophan:oxygen 2,3-oxidoreductase (decyclizing) - o2 + trp-L --> Lfmkynr) -FKYNH (N-Formyl-L-kynurenine amidohydrolase - Lfmkynr + h2o --> Lkynr + for + h) -KYNAKGAT (L-Kynurenine:2-oxoglutarate aminotransferase - Lkynr + akg --> 4aphdob + glu-L) - KYNATESYN (4-(2-Aminophenyl)-2,4-dioxobutanoate dehydratase- 4aphdob --> h2o + kynate)
X126	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of L-kynurenine from tryptophan	recon2 (260)	Kynurenine is synthesized by the enzyme tryptophan dioxygenase, which is made primarily but not exclusively in the liver, and indoleamine 2,3-dioxygenase, which is made in many tissues in response to immune activation. Kynurenine and its further breakdown products carry out diverse biological functions, including dilating blood vessels during inflammation and regulating the immune response. Some cancers increase kynurenine production, which increases tumor growth.	PAGE 77	TRPO2 (L-Tryptophan:oxygen 2,3-oxidoreductase - o2 + trp-L --> Lfmkynr ) and FKYNH (N-Formyl-L-kynurenine amidohydrolase - Lfmkynr + h2o --> Lkynr + for + h)
X127	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of N-formylanthranilate from tryptophan	recon2 (261)	This step generates Alanine	PAGE 77	TRPO2 (L-Tryptophan:oxygen 2,3-oxidoreductase (decyclizing) - o2 + trp-L --> Lfmkynr) - LFORKYNHYD (L-Formylkynurenine hydrolase - Lfmkynr + h2o --> ala-L + h + nformanth)
X128	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of quinolinate from tryptophan	recon2 (264)	In eukaryotes, the last step is cyclization and can happen non-enzymatically	PAGE 77, 143	TRPO2 (L-Tryptophan:oxygen 2,3-oxidoreductase - o2 + trp-L --> Lfmkynr ) and FKYNH (N-Formyl-L-kynurenine amidohydrolase - Lfmkynr + h2o --> Lkynr + for + h) - KYN3OX (kynurenine 3-monooxygenase - Lkynr + h + nadph + o2 --> h2o + hLkynr + nadp) - HKYNH (3-Hydroxy-L-kynurenine hydrolase - h2o + hLkynr --> 3hanthrn + ala-L) -3HAO (3-hydroxyanthranilate 3,4-dioxygenase - 3hanthrn + o2 --> cmusa + h) -QUILSYN (Quinolinate Synthase (Eukaryotic) - cmusa --> h + h2o + quln)
X129	AMINO ACIDS METABOLISM	TRYPTOPHAN METABOLISM	Synthesis of serotonin from tryptophan	recon2 (265)	Serotonin or 5-hydroxytryptamine (5-HT) is a monoamine neurotransmitter. Biochemically derived from tryptophan, serotonin is primarily found in the gastrointestinal tract (GI tract), blood platelets, and the central nervous system (CNS) of animals, including humans.	PAGE 76	TRPHYDRO2 (L-Tryptophan,tetrahydrobiopterin:oxygen oxidoreductase (5-hydroxylating)- o2 + thbpt + trp-L --> 5htrp + thbpt4acam) -5HLTDL (5-Hydroxy-L-tryptophan decarboxy-lyase - 5htrp + h --> co2 + srtn)
X13	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyadenosine triphosphate synthesis (dATP)	iHSA (14)/recon2 (94)	The conversion of the purine diphosphoribonucleotides, as well as of pyrimidine diphosphoribonucleotides (NDP) into the respective diphospho-2 deoxyribonucleotides (dNDP) is catalyzed by ribonucleoside-diphosphate reductase according to the general formula NDP + protein(SH)2 = dNDP + protein(SS) + H2O where the dithiol (-SH)2 is converted to a disulfide (-S-S-). After phosphorylation, the dNTPs are used for incorporation into DNA. Control mechanisms acting on the reductase and the DNA polymerase keep the dNTP pools small. By means of additional regulation systems, the optimum concentration ratios of all four deoxyribonucleotides have to be kept at a certain level, since this is a prerequisite for a high fidelity of DNA replication. -- In vivo, nucleotides can be synthesized de novo or recycled through salvage pathways. The components used in de novo nucleotide synthesis are derived from biosynthetic precursors of carbohydrate and amino acid metabolism, and from ammonia and carbon dioxide.	PAGE 126-128	Combination of Glucose to PRPP pathways (HEX1, G6PDH2r, PGL,GND,RPI,PRPPS), IMP pathways (GLUPRT,PRAGSr,GARFT,PRFGS,PRAIS,AIRCr, PRASCS,ADSL2,AICART, IMPC), ATP met pathway (ADSS, ADSL2,ADK3,ADK1) and dATP formation (RNDR1 and NDPK8)
X130	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine synthesis (need phenylalanine)	iHSA (73)	Mammals synthesize tyrosine from the essential amino acid phenylalanine (phe). The conversion into tyrosine is also the initial step of phenylalanine degradation.	PAGE 76	PHETHPTOX2 (o2[c] + phe_L[c] + thbpt[c] -> thbpt4acam[c] + tyr_L[c]) - DHPR( dhbpt[c] + h[c] + nadh[c] -> nad[c] + thbpt[c])- THBPT4ACAMDASE (thbpt4acam[c] -> dhbpt[c] + h2o[c])
X131	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine degradation	iHSA (95)	The decomposition of tyrosine to acetoacetate and fumarate. The end products can then enter into the citric acid cycle. (https://en.wikipedia.org/wiki/Tyrosine#Degradation)	PAGE 76	
X132	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine to adrenaline	recon2 (269)	Adrenaline is a hormone and neurotransmitter	PAGE78	TYRDOPO (Tyrosine:dopa oxidase - o2 + (2) tyr-L --> (2) 34dhphe) - 3HLYTCL (3-Hydroxy-L-tyrosine carboxy-lyase - 34dhphe + h --> co2 + dopa) - DOPABMO (dopamine beta-monooxygenase -ascb-L + dopa + o2 --> dhdascb + h2o + nrpphr) -NORANMT (noradrenaline N-methyltransferase -amet + nrpphr --> adrnl + ahcys + h )
X133	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine to dopamine	recon2 (270)	Dopamine is an organic chemical of the catecholamine and phenethylamine families that plays several important roles in the brain and body.	PAGE78	TYRDOPO (Tyrosine:dopa oxidase - o2 + (2) tyr-L --> (2) 34dhphe) - 3HLYTCL (3-Hydroxy-L-tyrosine carboxy-lyase - 34dhphe + h --> co2 + dopa)
X134	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	Tyrosine to acetoacetate and fumarate	recon2 (271)	Fumarate is a metabolite in TCA cycle, acetoacetate can be converted to actyle-CoA, which can be oxidized by the citric acid cycle or be used for fatty acid synthesis.	PAGE 76	TYRTA (tyrosine transaminase -akg + tyr-L <==> 34hpp + glu-L) -34HPPOR (4-Hydroxyphenylpyruvate:oxygen oxidoreductase - 34hpp + o2 --> co2 + hgentis) -HGNTOR (Homogentisate:oxygen 1,2-oxidoreductase - hgentis + o2 --> 4mlacac + h) -MACACI (maleylacetoacetate isomerase- 4mlacac --> 4fumacac) -FUMAC (fumarylacetoacetase - 4fumacac + h2o --> acac + fum + h)
X135	AMINO ACIDS METABOLISM	VALINE METABOLISM	Valine degradation	iHSA (96)	L-Valine --> alpha-Ketoisovaleric acid --> Isobutyryl-CoA --> Methylmalonate semialdehyde --> Methylmalonyl-CoA (a form) -->Methylmolonyl-CoA (b form) --> Succinyl-CoA , which then can enter the Citric Acid Cycle.	PAGE 71-72	
X136	AMINO ACIDS METABOLISM	VALINE METABOLISM	Valine to succinyl-coA	recon2 (279)	L-Valine --> alpha-Ketoisovaleric acid --> Isobutyryl-CoA --> Methylmalonate semialdehyde --> Methylmalonyl-CoA (a form) -->Methylmolonyl-CoA (b form) --> Succinyl-CoA , which then can enter the Citric Acid Cycle.	PAGE 71-72	VALTAm (akg + val-L <==> 3mob + glu-L)- OIVD2m (3mob + coa + nad --> co2 + ibcoa + nadh) - ACOAD9m (fad + ibcoa --> 2mp2coa + fadh2) - ECOAH12m (2mp2coa + h2o <==> 3hibutcoa ) - 3HBCOAHLm ( 3hibutcoa + h2o --> 3hmp + coa + h) - H1BDm( 3hmp + nad <==> 2mop + h + nadh)- MMTSADm (2mop + coa + nad --> h + mmcoa-R + nadh) -MMMm (mmcoa-R <==> succoa)
X137	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	Hydroxymethylglutaryl-CoA synthesis	new	All animal cells manufacture cholesterol, for both membrane structure and other uses, with relative production rates varying by cell type and organ function. It's early precursor of cholesterol.	PAGE 107 -- (https://en.wikipedia.org/wiki/Cholesterol#Biosynthesis)	HEX1 (hexokinase (D-glucose:ATP) - atp + glc-D --> adp + g6p + h) - PGI (glucose-6-phosphate - g6p <==> f6p) - PFK (phosphofructokinase - atp + f6p --> adp + fdp + h) - FBA( fructose-bisphosphate aldolase - fdp <==> dhap + g3p) - TPI (triose-phosphate isomerase - dhap <==> g3p) - GAPD (glyceraldehyde-3-phosphate dehydrogenase - g3p + nad + pi <==> 13dpg + h + nadh) - ACYP (acylphosphatase -13dpg + h2o --> 3pg + h + pi) - PGM (phosphoglycerate mutase - 2pg <==> 3pg) - ENO (enolase- 2pg <==> h2o + pep) - PYK (pyruvate kinase - adp + h + pep --> atp + pyr) - PDHm (pyruvate dehydrogenase - coa + nad + pyr --> accoa + co2 + nadh) ACACT1 (acetyl-CoA C-acetyltransferase- (2) accoa --> aacoa + coa) - HMGCOASi (Hydroxymethylglutaryl CoA - aacoa + accoa + h2o --> coa + h + hmgcoa)
